"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_roc" "Month" "P_Jan" "P_Feb" "P_Mar" "P_Apr" "P_Mai" "P_Jun" "P_Jul" "Sig_all"
"122.9" 0.44212962962963 0.475694444444444 0.561342592592593 0.586805555555556 0.75 0.757142857142857 0.0714285714285714 0.757142857142857 6 0.739452061258714 0.608986326708538 0.25663051400888 0.176091656110834 0.00344239913544321 0.0117730989642749 0.990117542564213 0.0117730989642749
"123.31" 0.520512820512821 0.4625 0.532142857142857 0.526785714285714 0.654761904761905 0.671732522796353 0.545751633986928 0.671732522796353 6 0.411883674408164 0.664505821300517 0.364768657482053 0.393313590176748 0.0533313065857813 0.0716895177686937 0.392735762362238 0.0716895177686937
"124.2" 0.550595238095238 0.57399577167019 0.507954545454545 0.546195652173913 0.688858695652174 0.830188679245283 -0.5 0.830188679245283 6 0.301224599441869 0.228962546053495 0.473354054432235 0.343791182226587 0.0461202966287601 0.115150279351923 1 0.115150279351923
"127.11" 0.478741496598639 0.557823129251701 0.585087719298246 0.652329749103943 0.688172043010753 0.733333333333333 -0.5 0.733333333333333 6 0.60389450312442 0.248980394336676 0.161987057592702 0.0395757099411266 0.0146182423785307 0.00196115791522911 1 0.00196115791522911
"127.13" 0.553240740740741 0.700738916256158 0.684659090909091 0.678104575163399 0.781746031746032 -0.5 -0.5 0.781746031746032 5 0.284693721226705 0.0174127919715311 0.0353596350305897 0.05230115969096 0.00972910426847643 1 1 0.00972910426847643
"133.7" 0.383035714285714 0.569444444444444 0.533967391304348 0.526041666666667 0.943396226415094 -0.5 -0.5 0.943396226415094 5 0.910028794439011 0.223789906447597 0.382957101480592 0.42245778712112 0.0582933407500661 1 1 0.0582933407500661
"138.1" 0.430098684210526 0.278611632270169 0.457880434782609 0.516326530612245 0.726415094339623 -0.5 -0.5 0.726415094339623 5 0.797048416447896 0.995025138796236 0.657773433912048 0.457196318162827 0.193474755599727 1 1 0.193474755599727
"139.15" 0.403769841269841 0.456349206349206 0.554545454545455 0.570454545454545 0.544318181818182 0.597530864197531 0.545751633986928 0.597530864197531 6 0.84704641686472 0.680986743325827 0.299818262432874 0.247539722960215 0.335286578793473 0.178933361170422 0.363512888581579 0.178933361170422
"139.35" 0.680555555555556 0.651127819548872 0.718614718614719 0.686079545454545 0.686111111111111 0.806837606837607 0.462264150943396 0.806837606837607 6 0.0161794461324932 0.0349244629340863 0.00366421962777207 0.0107286664542087 0.00996492055356992 5.00807628299265e-05 0.638163195084118 5.00807628299265e-05
"148.2" 0.388888888888889 0.424403183023873 0.564338235294118 0.69212962962963 0.205128205128205 1 -0.5 1 6 0.89261630482258 0.786359034460187 0.291255560717931 0.0656198987009914 0.970831352031473 0.00051959696619186 1 0.00051959696619186
"15.21" 0.554700854700855 0.582051282051282 0.535042735042735 0.551282051282051 0.576785714285714 0.459183673469388 0.346938775510204 0.582051282051282 2 0.27109771224202 0.178440854075792 0.349244853664163 0.283812336896291 0.199379349220485 0.652274925010852 0.889234112668862 0.178440854075792
"15.49" 0.688218390804598 0.75 0.758333333333333 0.770833333333333 0.765277777777778 0.705 0.5 0.770833333333333 4 0.00977046401813523 0.000952355855914039 0.000615086899654525 0.000350852587747364 0.000449203149464214 0.028630937449779 1 0.000350852587747364
"15.53" 0.670918367346939 0.652210884353742 0.663265306122449 0.66921768707483 0.693979933110368 0.622282608695652 0.540816326530612 0.693979933110368 5 0.0214730694553618 0.0358648382732556 0.0266001511282952 0.0226647806240469 0.0101039190124112 0.17016047061822 0.454954397927006 0.0101039190124112
"15.79" 0.626928471248247 0.687938288920056 0.755259467040673 0.774894810659186 0.787517531556802 0.843448275862069 1 1 7 0.0571701210110917 0.00966605264219622 0.000737418080291548 0.000309950014659534 0.000170509449425457 7.61492656650233e-06 1.02648657976276e-07 1.02648657976276e-07
"151.15" 0.63768115942029 0.655797101449275 0.610507246376812 0.632246376811594 0.655797101449275 0.806513409961686 0.927325581395349 0.927325581395349 7 0.0536776506684599 0.0340683698472128 0.0986831201343007 0.0610535761196158 0.0342686769398802 0.000218740816560893 1.05397093408127e-05 1.05397093408127e-05
"152.4" 0.394660894660895 0.433227344992051 0.541025641025641 0.601785714285714 0.619642857142857 0.730902777777778 0.89622641509434 0.89622641509434 7 0.904317214370328 0.786038150927441 0.32461424587772 0.131819747198411 0.0929232472344078 0.0292810085724459 0.029976732212921 0.029976732212921
"156.10" 0.536474164133739 0.589665653495441 0.503039513677812 0.560790273556231 0.572948328267477 0.603343465045593 0.565 0.603343465045593 6 0.380116561133655 0.222494380193907 0.494754775243318 0.304743998311009 0.270083553664443 0.19208038798868 0.335740297394695 0.19208038798868
"157.3" 0.430555555555556 0.28 0.526143790849673 0.411764705882353 0.519607843137255 0.548076923076923 0.403846153846154 0.548076923076923 6 0.718002458332605 0.935671631546492 0.446449197725491 0.707325349780347 0.46113881319169 0.416360017899684 0.692810853194216 0.416360017899684
"16.122" 0.639705882352941 0.599264705882353 0.600490196078431 0.557598039215686 0.561274509803921 0.5 0.5 0.639705882352941 1 0.0669105663084164 0.144553370080557 0.141644674549711 0.271274515430436 0.258181832197642 0.510779375386083 1 0.0669105663084164
"16.193" 0.402083333333333 0.430894308943089 0.439024390243902 0.41869918699187 0.317073170731707 0.416666666666667 0.322222222222222 0.439024390243902 3 0.785865009438468 0.712859551718063 0.692221031712002 0.744120336496637 0.927211494048079 0.737777348046607 0.946261910524757 0.692221031712002
"16.66" 0.588023088023088 0.589466089466089 0.59018759018759 0.596681096681097 0.637085137085137 0.725490196078431 0.490566037735849 0.725490196078431 6 0.140932530083315 0.137191039794717 0.13545111771363 0.118803800339419 0.046643318275541 0.0875289219822905 0.608234751112945 0.0875289219822905
