Stasjonsnr;corr-jan;corr-feb;corr-mars;corr-april;corr-mai;corr-juni;corr-juli;mindex-jan;mindex-feb;mindex-mars;mindex-april;mindex-mai;mindex-juni;mindex-juli;TOPP;TOPP Q;WSZ;WRRatio
12.171;0.462549177;0.463203804;0.493465278;5.012391e-01;0.533031491;0.394685678;0.339991802;135.0;104.0;76.0;45.0;15.0;8.0;4.0;mai;mai;0.8706003;0.06229442
12.178;0.215861917;0.186803383;0.240289994;2.219579e-01;0.178870957;0.335904183;0.132569050;135.5;104.5;76.0;45.0;15.0;20.5;5.0;mai;mai;0.8280971;0.12328851
12.192;-0.057098345;0.216523338;0.246273484;2.597598e-01;0.430827597;0.208696023;0.254371759;119.0;88.0;61.0;31.0;11.5;30.0;13.0;mai;mai;0.5870754;0.42663113
12.193;0.311095948;0.368501468;0.430300297;3.814632e-01;0.334973799;0.269234969;0.127072952;127.0;96.0;67.0;36.0;25.0;29.0;12.0;mai;mai;0.6474585;0.30863590
12.70;0.352377736;0.334153221;0.368447933;4.128271e-01;0.500349595;0.715728538;0.290784105;137.5;106.5;78.0;47.0;17.0;11.5;9.5;mai;mai;0.8889911;0.06058363
12.97;0.177517022;0.170636732;0.278682270;2.904248e-01;0.324228810;0.447560595;0.217430423;140.5;109.5;81.5;50.5;21.0;14.4;8.0;mai;mai;0.9108557;0.06745900
122.11;-0.032741173;-0.114899767;-0.060907762;4.459075e-02;0.295331511;0.677363092;0.212894928;144.5;113.5;85.5;54.5;24.5;7.5;10.0;mai;mai;0.8712133;0.08329557
122.17;0.315138724;0.379954691;0.433069964;4.262690e-01;0.565502885;0.398451918;-0.202768336;139.0;108.0;80.0;49.0;21.0;11.0;19.0;mai;mai;0.7814049;0.15463195
122.9;-0.042897775;-0.021940747;0.136404703;2.268954e-01;0.460912832;0.531393635;0.158054666;149.0;118.0;90.0;59.0;29.0;13.0;12.0;mai;mai;0.8270754;0.14389715
123.31;-0.028075513;0.043211544;0.012921043;2.103515e-02;0.187495705;0.210026806;-0.125197369;141.5;112.0;83.5;53.5;24.5;15.5;14.5;mai;mai;0.7459515;0.26037265
124.2;0.113629074;0.256149310;0.193113302;2.681971e-01;0.563519659;0.393363592;-0.014569621;131.0;102.0;74.0;45.0;18.0;18.5;14.5;mai;mai;0.7169349;0.34778832
127.11;-0.071620412;0.162340457;0.139294404;2.560000e-01;0.371288379;0.706337515;0.376229479;137.0;108.0;80.0;49.0;20.0;5.0;8.0;mai;mai;0.7674074;0.29121267
127.13;0.194525890;0.513887132;0.318428492;4.996033e-01;0.629323927;0.156426545;-0.204682640;128.0;100.0;73.0;46.0;22.0;19.0;16.0;mai;mai;0.7097829;0.37154570
133.7;-0.069284647;0.356526417;0.145311241;2.790100e-01;0.565928029;0.020487661;0.173323574;99.0;82.5;61.0;31.5;16.0;26.0;13.0;april/mai;mai;0.5438570;0.56446257
138.1;0.011857969;0.385790612;0.209525164;4.648270e-01;0.611804562;0.157367854;0.410082236;89.5;68.5;56.0;30.5;13.5;16.5;12.0;april/mai;mai;0.5699106;0.53568945
139.35;0.303474912;0.323214984;0.412839871;4.728565e-01;0.503855009;0.725096107;0.346578833;140.5;113.0;85.5;55.0;26.0;5.5;8.0;mai;mai;0.8212516;0.22776771
15.21;0.075445025;0.156613675;0.247963268;2.717147e-01;0.396426130;0.242592507;0.073440766;124.5;93.5;65.0;34.5;14.0;28.5;14.0;april/mai;mai;0.7423755;0.19324583
15.49;0.330056648;0.409164904;0.445176524;4.455377e-01;0.415669690;0.601485139;0.315661300;137.0;106.0;77.5;46.5;16.5;1.0;42493;mai;mai;0.8832695;0.07136816
15.53;0.353580606;0.277010431;0.315391406;3.306540e-01;0.360729204;0.544532205;0.124266996;134.0;103.0;75.0;44.0;14.0;21.5;8.0;mai;mai;0.8871520;0.05057837
16.122;0.219202055;0.241804884;0.166671180;1.715542e-01;0.170523929;0.468011943;0.323022031;136.0;105.0;77.0;46.0;18.0;11.0;11.0;mai;mai;0.8506769;0.11157848
16.193;0.095096080;0.097732688;0.188310687;8.761142e-02;0.088713401;0.009688002;0.128943965;133.5;105.0;77.0;46.0;22.0;29.0;12.5;mai;mai;0.7242912;0.24474395
16.66;0.201268074;0.127612360;0.153391980;1.541623e-01;0.241234228;0.482448600;0.253353027;134.5;103.5;75.5;44.5;14.5;10.0;11.0;mai;mai;0.8828608;0.07331901
16.75;0.291762637;0.204842824;0.218778238;3.207977e-01;0.447745092;0.710518954;0.362531504;136.5;105.5;77.5;46.5;17.0;3.0;5.0;mai;mai;0.8416858;0.12395626
162.3;0.011082864;0.079524781;0.064848231;1.145888e-01;0.182262986;0.662354609;0.303796584;142.5;112.0;84.0;53.0;23.0;6.0;4.0;mai/juni;mai;0.8083780;0.28642689
165.6;-0.181408989;-0.229056848;-0.157149353;9.886412e-02;0.110193535;-0.137495377;-0.162769103;86.0;70.5;56.5;45.0;30.5;24.0;14.0;mai;mai;0.6363218;0.55293438
177.4;-0.087147212;0.024851134;0.135052582;1.955829e-01;0.285237374;0.371769418;-0.002842904;136.0;108.5;87.5;60.0;34.0;15.0;12.0;mai/juni;mai;0.6889400;0.48435435
18.10;0.054125731;0.355236301;0.143781503;1.488877e-01;0.163080163;-0.206518048;-0.136842741;121.0;90.0;62.0;32.0;17.0;31.0;8.0;mai;mai;0.5627586;0.43872976
2.11;0.044485331;0.128658690;0.178086741;2.438250e-01;0.437866778;0.729673063;0.258695633;141.0;110.0;82.0;51.0;21.0;7.0;5.0;mai;mai;0.9089144;0.05437071
2.142;0.412208111;0.410517211;0.410821786;4.284752e-01;0.644113608;0.108912439;0.198298406;123.0;92.0;64.0;33.0;10.0;21.0;12.0;mai;mai;0.7404342;0.28499586
2.265;0.056704895;0.114259668;0.153098189;2.664598e-01;0.395147849;0.580704547;0.172887857;144.0;113.0;85.0;54.0;24.0;5.0;5.0;mai;mai;0.8982886;0.07735039
2.279;0.257081277;0.385894810;0.366429035;4.303230e-01;0.606495635;0.365063274;0.277254679;124.0;93.0;64.0;34.0;11.0;14.5;11.0;april/mai;mai;0.7078416;0.29010986
2.28;0.306269126;0.228777170;0.274593514;3.255523e-01;0.377710709;0.458754338;0.039908395;136.0;105.0;77.0;46.0;16.0;9.5;10.5;mai;mai;0.8744828;0.08835892
