"stations" "nobs" "" "" "" "" "tdist"
"96" "234.18.0.6004.dta" "54" "1.15846896067845" "0.00671679567279831" "0.562687897290276" "0.00300125905645461" "gamma"
"97" "24.8.0.6004.dta" "36" "0.908030673729781" "0.126650557141967" "0.818640995391491" "0.122054320557196" "gamma"
"98" "24.9.0.6004.dta" "54" "0.875911200829891" "0.0560680388326067" "0.754477794779125" "0.049749142894489" "gamma"
"99" "247.3.0.6004.dta" "54" "0.883100017229384" "0.392157636550695" "0.439729245780149" "0.156712055469793" "gamma"
"100" "25.24.0.6004.dta" "44" "1.0172777142391" "0.15052024824557" "1.08355069582486" "0.193757436163096" "gamma"
"101" "25.32.0.6004.dta" "22" "0.801360583190818" "0.227878499725266" "0.630259445237785" "0.213474283582263" "gamma"
"102" "26.20.0.6004.dta" "45" "0.975161214903524" "0.171565434909133" "0.652380426436196" "0.112864449639355" "gamma"
"103" "26.26.0.6004.dta" "43" "0.63953109111035" "0.30957427711843" "0.412477146362954" "0.282243638933495" "gamma"
"104" "26.29.0.6004.dta" "37" "0.887804604668327" "0.23574871945881" "0.815019747555489" "0.254654868545161" "gamma"
"105" "27.16.0.6004.dta" "27" "0.961033193130936" "0.0853246808058496" "0.75177121309917" "0.0878048069136737" "gamma"
"106" "27.24.0.6004.dta" "54" "1.57706799193083" "0.106528812579981" "0.982362289314056" "0.0665791174655127" "gamma"
"107" "28.7.0.6004.dta" "54" "1.02865075162582" "0.149574332040631" "0.807652886209936" "0.141126076457354" "gamma"
"108" "3.22.0.6004.dta" "39" "0.848597850056097" "0.17931218330894" "0.601690697926833" "0.141540168816527" "gamma"
"109" "311.460.0.6004.dta" "54" "1.4178001589724" "0.185387444866076" "0.848479980620163" "0.10357947844012" "gamma"
"110" "311.6.0.6004.dta" "54" "1.77663503883754" "0.0255342314274922" "1.1169544820281" "0.0167256175240681" "gamma"
"111" "313.10.0.6004.dta" "54" "1.19926318210276" "0.209034880480233" "0.80650902321852" "0.148538095706552" "gamma"
"112" "35.16.0.6004.dta" "25" "1.01519813883745" "0.321844160419708" "0.687421377464935" "0.213208936256669" "gamma"
"113" "36.9.0.6004.dta" "24" "0.51844740182584" "0.158392448024442" "0.470283121206474" "0.278863952642147" "gamma"
"114" "41.1.0.6004.dta" "54" "1.25984782121206" "0.091533003699907" "1.29667308645133" "0.0896296862957329" "gamma"
"115" "42.2.0.6004.dta" "52" "0.756008990915227" "0.234799809074149" "0.686013097622809" "0.241985102299662" "gamma"
"116" "46.9.0.6004.dta" "30" "0.576762623907038" "0.546749361482946" "0.644637307473802" "0.876492587695332" "gamma"
"117" "48.1.0.6004.dta" "54" "0.925868823828583" "0.024920312197513" "1.00421859239808" "0.0250947458918366" "gamma"
"118" "48.5.0.6004.dta" "54" "0.784671381486996" "0.0828358607909668" "0.970328188627022" "0.110519624840102" "gamma"
"119" "50.1.0.6004.dta" "54" "0.741389693916167" "0.0596949798349606" "0.853708783334008" "0.0798622238211061" "gamma"
"120" "50.13.0.6004.dta" "27" "0.651412971966542" "0.0622390450205698" "0.491164156068452" "0.058428256530571" "gamma"
"121" "55.4.0.6004.dta" "54" "0.841455707267262" "0.169051692100935" "0.667273367203072" "0.142440791877114" "gamma"
"122" "55.5.0.6004.dta" "33" "0.704664204997551" "1.69522999617713" "0.546018436054936" "1.47938082022862" "gamma"
"123" "6.10.0.6004.dta" "47" "0.794647434927942" "5.25160770084087" "0.543010681903533" "3.18342131514103" "gamma"
"124" "6.71.0.6004.dta" "8" "0.791174252695895" "4.79831314165154" "0.412677965118329" "2.11143157043184" "gamma"
"125" "62.10.0.6004.dta" "51" "0.812751651316119" "0.0680440311677653" "0.849411443870979" "0.0896884552786534" "gamma"
"126" "62.18.0.6004.dta" "28" "0.75195173958602" "0.0927513283518637" "0.757725796090755" "0.108327990713692" "gamma"
"127" "62.5.0.6004.dta" "54" "0.998822663140073" "0.0141874663903449" "1.08777776056608" "0.0182252061516871" "gamma"
"128" "72.5.0.6004.dta" "53" "0.794340429786782" "0.0464872143248419" "0.81383941589209" "0.056582813898259" "gamma"
"129" "73.27.0.6004.dta" "38" "0.539634204665504" "0.515167222596522" "0.493260058980784" "0.528506377192433" "gamma"
"130" "75.23.0.6004.dta" "50" "0.641693911909076" "0.286297902481375" "0.578785122944273" "0.287526456177113" "gamma"
"131" "76.5.0.6004.dta" "53" "0.46986987023347" "0.073662765999709" "0.608414721189784" "0.149079456978826" "gamma"
"132" "77.3.0.6004.dta" "53" "0.862568791293811" "0.10250168374856" "1.06792029056767" "0.138220666304819" "gamma"
"133" "78.8.0.6004.dta" "49" "0.731443541877846" "0.16240673166408" "1.2215592326656" "0.378502785350276" "gamma"
"134" "79.3.0.6004.dta" "32" "0.941675622723046" "0.418032202967332" "0.841832123064131" "0.518198034438621" "gamma"
"135" "8.2.0.6004.dta" "47" "0.800869932051118" "0.210443402357882" "0.456533390943307" "0.108083160428706" "gamma"
"136" "8.6.0.6004.dta" "39" "0.676690033135205" "6.10307810286541" "0.350772272736235" "3.04423881041093" "gamma"
"137" "82.4.0.6004.dta" "54" "0.967243276294577" "0.0479916279208309" "0.684239523778403" "0.0335482554259134" "gamma"
"138" "83.2.0.6004.dta" "54" "1.24641376321826" "0.0291163721739227" "1.93953442310055" "0.0450967266762027" "gamma"
"139" "84.11.0.6004.dta" "52" "1.06186834010024" "0.049982976726505" "0.762305301379044" "0.0367007370815751" "gamma"
"140" "86.12.0.6004.dta" "33" "1.01174997423128" "0.300411277401471" "1.535448417278" "0.523379475373589" "gamma"
"141" "87.10.0.6004.dta" "44" "1.02090502927002" "0.0627588321681907" "0.687381596002878" "0.0461212959477413" "gamma"
